Sorszám;Ut;Azonosito;Kezdo;Veg;Hossz;Tipus;Szorzo;
759;8;8u24k77m;24 + 077;24 + 720;645;főúti;0.861;
760;8;8u31k250m;31 + 250;34 + 593;3395;főúti;0.096;
761;8;8u34k593m;34 + 593;40 + 068;5217;főúti;0.233;
762;8;8u40k68m;40 + 068;44 + 149;4061;főúti;0;
763;8;8u44k149m;44 + 149;46 + 015;1899;főúti;0;
764;8;8u46k15m;46 + 015;47 + 760;1722;főúti;0;
765;8;8u47k760m;47 + 760;50 + 578;2721;főúti;0.979;
766;8;8u50k578m;50 + 578;51 + 340;758;főúti;0.6;
767;8;8u51k340m;51 + 340;53 + 320;1982;főúti;0.539;
768;8;8u53k320m;53 + 320;57 + 177;3882;főúti;0.174;
769;8;8u57k177m;57 + 177;60 + 145;2939;főúti;0;
770;8;8u60k145m;60 + 145;62 + 601;2468;főúti;0.434;
771;8;8u62k601m;62 + 601;65 + 175;2738;főúti;0.61;
772;8;8u65k175m;65 + 175;66 + 782;1607;főúti;1;
773;8;8u66k782m;66 + 782;68 + 286;1509;főúti;0.864;
774;8;8u68k286m;68 + 286;71 + 096;2810;főúti;0;
775;8;8u71k96m;71 + 096;74 + 081;2976;főúti;0.251;
776;8;8u74k573m;74 + 573;75 + 111;543;főúti;0.267;
777;8;8u74k81m;74 + 081;74 + 573;488;főúti;0.509;
778;8;8u75k111m;75 + 111;78 + 126;3021;főúti;0.523;
779;8;8u78k126m;78 + 126;80 + 571;2435;főúti;0;
780;8;8u80k571m;80 + 571;82 + 679;2115;főúti;0.121;
781;8;8u92k178m;92 + 178;94 + 468;2300;főúti;0.274;
782;8;8u94k468m;94 + 468;97 + 851;3379;főúti;0.416;
783;8;8u97k851m;97 + 851;98 + 558;706;főúti;0.957;
784;8;8u98k558m;98 + 558;99 + 021;467;főúti;0;
785;8;8u99k21m;99 + 021;99 + 697;688;főúti;0;
786;8;8u99k697m;99 + 697;101 + 206;1505;főúti;0;
787;8;8u101k206m;101 + 206;101 + 573;380;főúti;0;
788;8;8u102k398m;102 + 398;104 + 035;1595;főúti;0.353;
789;8;8u104k321m;104 + 321;106 + 241;1890;főúti;0;
790;8;8u104k35m;104 + 035;104 + 321;349;főúti;0;
791;8;8u106k241m;106 + 241;110 + 225;3954;főúti;0;
792;8;8u110k225m;110 + 225;110 + 863;639;főúti;0;
793;8;8u110k863m;110 + 863;111 + 509;637;főúti;0;
794;8;8u111k509m;111 + 509;113 + 430;1915;főúti;0.04;
795;8;8u113k430m;113 + 430;114 + 170;743;főúti;1;
796;8;8u114k170m;114 + 170;115 + 807;1631;főúti;0.511;
797;8;8u115k807m;115 + 807;116 + 785;976;főúti;0;
798;8;8u116k785m;116 + 785;117 + 997;1281;főúti;0;
799;8;8u117k997m;117 + 997;122 + 354;4362;főúti;0;
800;8;8u122k354m;122 + 354;123 + 534;1178;főúti;0;
801;8;8u123k534m;123 + 534;125 + 779;2260;főúti;0.08;
802;8;8u125k779m;125 + 779;126 + 884;1099;főúti;0.749;
803;8;8u126k884m;126 + 884;134 + 032;7206;főúti;0;
804;8;8u134k32m;134 + 032;136 + 272;2191;főúti;0;
805;8;8u136k272m;136 + 272;137 + 570;1299;főúti;0.134;
806;8;8u137k570m;137 + 570;137 + 784;215;főúti;1;
807;8;8u137k784m;137 + 784;139 + 477;1686;főúti;0.272;
808;8;8u139k477m;139 + 477;139 + 957;481;főúti;1;
809;8;8u141k156m;141 + 156;145 + 058;3838;főúti;0.017;
810;8;8u141k41m;141 + 041;141 + 156;115;főúti;0;
811;8;8u145k189m;145 + 189;145 + 571;379;főúti;1;
812;8;8u145k571m;145 + 571;146 + 595;1031;főúti;0.442;
813;8;8u145k58m;145 + 058;145 + 189;131;főúti;1;
814;8;8u146k595m;146 + 595;149 + 912;3304;főúti;0;
815;8;8u150k638m;150 + 638;151 + 140;476;főúti;0.961;
816;8;8u151k140m;151 + 140;153 + 939;2782;főúti;0.085;
817;8;8u155k200m;155 + 200;156 + 083;888;főúti;0;
818;8;8u157k86m;157 + 086;158 + 598;1517;főúti;0.455;
819;8;8u159k232m;159 + 232;161 + 573;2365;főúti;0.327;
820;8;8u165k598m;165 + 598;165 + 923;326;főúti;0;
821;8;8u165k923m;165 + 923;166 + 544;609;főúti;0;
822;8;8u166k544m;166 + 544;166 + 777;231;főúti;0;
823;8;8u166k777m;166 + 777;168 + 643;1874;főúti;0.811;
824;8;8u168k643m;168 + 643;169 + 592;948;főúti;0;
825;8;8u169k592m;169 + 592;171 + 230;1663;főúti;0.018;
826;8;8u171k230m;171 + 230;172 + 365;1115;főúti;1;
827;8;8u172k365m;172 + 365;172 + 678;322;főúti;1;
828;8;8u172k678m;172 + 678;173 + 789;1109;főúti;0.369;
829;8;8u173k789m;173 + 789;177 + 458;3671;főúti;0.274;
830;8;8u177k458m;177 + 458;178 + 046;588;főúti;0;
831;8;8u180k684m;180 + 684;181 + 702;1018;főúti;0;
832;8;8u181k702m;181 + 702;181 + 912;209;főúti;0;
833;8;8u181k912m;181 + 912;182 + 523;764;főúti;0.043;
834;8;8u184k599m;184 + 599;186 + 141;1531;főúti;0;
835;8;8u186k606m;186 + 606;188 + 859;2257;főúti;0.078;
836;8;8u188k859m;188 + 859;189 + 798;968;főúti;0.205;
837;8;8u189k798m;189 + 798;190 + 587;768;főúti;0;
838;10;10u12k215m;12 + 215;12 + 730;479;főúti;0.585;
839;10;10u13k250m;13 + 250;13 + 798;489;főúti;0.743;
840;10;10u13k798m;13 + 798;14 + 602;831;főúti;0;
841;10;10u14k602m;14 + 602;17 + 010;2372;főúti;0.439;
842;10;10u17k10m;17 + 010;17 + 504;505;főúti;0.98;
843;10;10u20k459m;20 + 459;21 + 305;843;főúti;1;
844;10;10u21k305m;21 + 305;23 + 850;2548;főúti;0.177;
845;10;10u26k895m;26 + 895;28 + 935;2037;főúti;0.72;
846;10;10u30k100m;30 + 100;31 + 762;1658;főúti;0;
847;10;10u31k762m;31 + 762;32 + 283;630;főúti;0.453;
848;10;10u34k278m;34 + 278;35 + 399;1127;főúti;0.195;
849;10;10u35k399m;35 + 399;37 + 078;1676;főúti;0;
850;10;10u39k494m;39 + 494;41 + 383;1886;főúti;0.536;
851;10;10u46k733m;46 + 733;50 + 663;3868;főúti;0;
852;10;10u60k114m;60 + 114;60 + 363;250;főúti;0.998;
853;10;10u62k167m;62 + 167;67 + 916;5709;főúti;0.135;
854;10;10u71k854m;71 + 854;75 + 519;3648;főúti;0.19;
855;11;11u13k236m;13 + 236;13 + 648;414;főúti;0.929;
856;11;11u13k648m;13 + 648;14 + 489;859;főúti;0.14;
857;11;11u14k489m;14 + 489;16 + 935;2418;főúti;0.061;
858;11;11u31k298m;31 + 298;35 + 485;4188;főúti;0.277;
859;11;11u39k117m;39 + 117;41 + 321;2204;főúti;0.389;
860;11;11u44k276m;44 + 276;45 + 426;1150;főúti;0;
861;11;11u45k426m;45 + 426;48 + 347;2864;főúti;0;
862;11;11u50k447m;50 + 447;51 + 799;1318;főúti;0.348;
863;11;11u53k705m;53 + 705;55 + 423;1643;főúti;0.032;
864;11;11u55k423m;55 + 423;63 + 612;8079;főúti;0.572;
865;11;11u67k670m;67 + 670;72 + 174;4289;főúti;0.06;
866;12;12u0k0m;0 + 000;4 + 113;3910;főúti;0.064;
867;12;12u7k528m;7 + 528;8 + 756;1243;főúti;0.399;
868;12;12u8k756m;8 + 756;11 + 541;2788;főúti;0.088;
869;12;12u13k954m;13 + 954;14 + 879;929;főúti;0.472;
870;12;12u14k879m;14 + 879;18 + 809;4060;főúti;0.004;
871;12;12u21k55m;21 + 055;21 + 883;827;főúti;0;
872;12;12u21k883m;21 + 883;23 + 403;1656;főúti;0.082;
873;12;12u25k1203m;25 + 1203;26 + 412;473;főúti;0;
874;13;13u0k0m;0 + 000;0 + 585;585;főúti;0.545;
875;13;13u1k503m;1 + 503;4 + 858;3355;főúti;0.22;
876;13;13u4k858m;4 + 858;6 + 345;1435;főúti;0;
877;13;13u6k345m;6 + 345;8 + 927;2583;főúti;0;
878;13;13u8k927m;8 + 927;10 + 157;1230;főúti;0.129;
879;13;13u10k157m;10 + 157;10 + 441;284;főúti;0;
880;13;13u10k441m;10 + 441;13 + 103;2662;főúti;0;
881;13;13u14k517m;14 + 517;15 + 523;1006;főúti;1;
882;13;13u15k523m;15 + 523;20 + 626;5103;főúti;0.052;
883;13;13u20k626m;20 + 626;21 + 377;751;főúti;0.469;
884;13;13u21k377m;21 + 377;22 + 814;1437;főúti;0.466;
885;13;13u22k814m;22 + 814;22 + 978;164;főúti;0;
886;13;13u22k978m;22 + 978;26 + 428;3450;főúti;0.029;
887;13;13u26k428m;26 + 428;30 + 355;3927;főúti;0.238;
888;14;14u3k670m;3 + 670;6 + 105;2435;főúti;0.022;
889;14;14u6k105m;6 + 105;8 + 390;2337;főúti;0.428;
890;14;14u8k390m;8 + 390;12 + 616;4287;főúti;0.143;
891;15;15u2k341m;2 + 341;10 + 611;8198;főúti;0.131;
892;15;15u11k899m;11 + 899;14 + 416;2505;főúti;0.066;
893;15;15u16k252m;16 + 252;16 + 547;291;főúti;1;
894;15;15u16k547m;16 + 547;17 + 509;961;főúti;0.097;
895;21;21u1k382m;1 + 382;2 + 80;687;főúti;0.312;
896;21;21u2k80m;2 + 80;3 + 274;1252;főúti;0;
897;21;21u3k274m;3 + 274;6 + 640;3363;főúti;0.3;
898;21;21u6k640m;6 + 640;7 + 310;668;főúti;1;
899;21;21u7k310m;7 + 310;10 + 715;3396;főúti;0.134;
900;21;21u10k715m;10 + 715;11 + 1015;1292;főúti;0.952;
901;21;21u11k1015m;11 + 1015;14 + 263;2332;főúti;0.788;
902;21;21u14k263m;14 + 263;18 + 633;4361;főúti;0.15;
903;21;21u18k633m;18 + 633;20 + 985;2359;főúti;0.594;
904;21;21u20k985m;20 + 985;23 + 782;2817;főúti;0;
905;21;21u23k782m;23 + 782;26 + 746;2968;főúti;0;
906;21;21u26k746m;26 + 746;29 + 370;2628;főúti;0.005;
907;21;21u29k370m;29 + 370;32 + 239;2874;főúti;0.6;
908;21;21u32k239m;32 + 239;35 + 852;3635;főúti;0.241;
909;21;21u35k852m;35 + 852;39 + 208;3349;főúti;0.629;
910;21;21u39k241m;39 + 208;41 + 819;2627;főúti;0.584;
911;21;21u41k819m;41 + 819;43 + 326;1508;főúti;0.3;
912;21;21u43k326m;43 + 326;44 + 003;805;főúti;0;
913;21;21u44k3m;44 + 003;44 + 589;470;főúti;0.553;
914;21;21u46k575m;46 + 575;49 + 182;2565;főúti;0.331;
915;21;21u49k182m;49 + 182;50 + 871;1693;főúti;0;
916;21;21u50k871m;50 + 871;51 + 318;456;főúti;0.697;
917;21;21u51k318m;51 + 318;52 + 615;1336;főúti;1;
918;21;21u54k161m;54 + 161;55 + 891;1749;főúti;1;
919;21;21u61k660m;61 + 660;63 + 160;1493;főúti;0.326;
920;22;22u0k0m;0 + 000;2 + 860;2809;főúti;0;
921;22;22u2k860m;2 + 860;4 + 346;1489;főúti;0;
922;22;22u4k346m;4 + 346;7 + 080;2751;főúti;0;
923;22;22u8k699m;8 + 699;14 + 568;5870;főúti;0;
924;22;22u14k568m;14 + 568;15 + 876;1317;főúti;0;
925;22;22u16k468m;16 + 468;20 + 875;4414;főúti;0.231;
926;22;22u21k895m;21 + 895;22 + 898;2015;főúti;0.661;
927;22;22u24k415m;24 + 415;29 + 078;4651;főúti;0.124;
928;22;22u29k78m;29 + 078;30 + 121;1042;főúti;0.008;
929;22;22u31k776m;31 + 776;31 + 899;123;főúti;0.997;
930;22;22u31k899m;31 + 899;32 + 639;741;főúti;0.275;
931;22;22u41k664m;41 + 664;42 + 007;363;főúti;0;
932;22;22u42k7m;42 + 007;44 + 342;2333;főúti;0;
933;22;22u44k342m;44 + 342;45 + 346;987;főúti;0;
934;22;22u45k346m;45 + 346;46 + 729;1388;főúti;0.074;
935;22;22u49k140m;49 + 140;51 + 970;2818;főúti;0.236;
936;22;22u53k192m;53 + 192;53 + 743;548;főúti;1;
937;22;22u53k743m;53 + 743;54 + 964;1240;főúti;0.895;
938;22;22u54k964m;54 + 964;55 + 710;744;főúti;1;
939;22;22u58k74m;58 + 074;58 + 755;676;főúti;0;
940;22;22u60k510m;60 + 510;65 + 045;4517;főúti;0.041;
941;23;23u0k0m;0 + 000;0 + 996;996;főúti;0.916;
942;23;23u0k996m;0 + 996;2 + 123;1127;főúti;0.96;
943;23;23u2k123m;2 + 123;2 + 555;382;főúti;0.499;
944;23;23u2k555m;2 + 555;6 + 098;3311;főúti;0.024;
945;23;23u8k643m;8 + 643;12 + 220;3558;főúti;0;
946;23;23u13k345m;13 + 345;15 + 996;2651;főúti;0.194;
947;23;23u15k996m;15 + 996;22 + 743;6759;főúti;0.242;
948;23;23u24k226m;24 + 226;28 + 690;4463;főúti;0.249;
949;24;24u2k927m;2 + 927;4 + 829;1808;főúti;0.035;
950;24;24u4k829m;4 + 829;5 + 265;544;főúti;0;
951;24;24u5k265m;5 + 265;6 + 104;829;főúti;0;
952;24;24u7k729m;7 + 729;15 + 061;7260;főúti;0;
953;24;24u15k365m;15 + 365;18 + 295;2869;főúti;0.541;
954;24;24u18k295m;18 + 295;24 + 277;6372;főúti;0;
955;24;24u24k277m;24 + 277;24 + 2665;2392;főúti;0.114;
956;24;24u28k3018m;28 + 3018;28 + 3932;915;főúti;0;
957;24;24u28k3932m;28 + 3932;28 + 5147;1211;főúti;0.026;
958;24;24u35k958m;35 + 958;40 + 745;4720;főúti;0.189;
959;24;24u40k745m;40 + 745;40 + 1256;509;főúti;0;
960;24;24u43k986m;43 + 986;52 + 705;8569;főúti;0.048;
961;24;24u54k420m;54 + 420;60 + 078;5662;főúti;0.281;
962;25;25u1k290m;1 + 290;10 + 633;9359;főúti;0.023;
963;25;25u19k812m;19 + 812;25 + 670;5849;főúti;0;
964;25;25u26k566m;26 + 566;27 + 668;1103;főúti;0.23;
965;25;25u27k668m;27 + 668;32 + 790;5132;főúti;0;
966;25;25u32k790m;32 + 790;32 + 918;105;főúti;0;
967;25;25u32k918m;32 + 918;34 + 952;2037;főúti;0;
968;25;25u37k222m;37 + 222;37 + 830;603;főúti;1;
969;25;25u38k811m;38 + 811;44 + 050;5214;főúti;0.189;
970;25;25u47k381m;47 + 381;50 + 844;3462;főúti;0;
971;25;25u50k844m;50 + 844;54 + 600;3774;főúti;0.032;
972;25;25u56k279m;56 + 279;58 + 222;1939;főúti;0.336;
973;25;25u63k945m;63 + 945;64 + 598;649;főúti;0;
974;25;25u72k891m;72 + 891;77 + 051;4174;főúti;0.016;
975;25;25u77k51m;77 + 051;78 + 002;980;főúti;0.461;
976;25;25u79k12m;79 + 012;80 + 446;1444;főúti;0.546;
977;25;25u81k618m;81 + 618;82 + 067;463;főúti;0.999;
978;26;26u4k150m;4 + 150;4 + 849;719;főúti;0;
979;26;26u4k849m;4 + 849;7 + 659;2797;főúti;0.026;
980;26;26u7k659m;7 + 659;9 + 309;1637;főúti;0;
981;26;26u11k976m;11 + 944;12 + 500;575;főúti;0.476;
982;26;26u15k800m;15 + 800;17 + 167;1364;főúti;0.602;
983;26;26u17k167m;17 + 167;20 + 568;3392;főúti;0.354;
984;26;26u23k398m;23 + 398;25 + 570;2133;főúti;0.265;
985;26;26u26k539m;26 + 539;27 + 700;1162;főúti;1;
986;26;26u28k950m;28 + 950;29 + 165;215;főúti;1;
987;26;26u29k165m;29 + 165;30 + 208;1043;főúti;0.124;
988;26;26u30k208m;30 + 208;30 + 779;571;főúti;0;
989;26;26u30k779m;30 + 779;32 + 761;1974;főúti;0;
990;26;26u33k770m;33 + 770;36 + 990;3217;főúti;0.109;
991;26;26u39k280m;39 + 280;42 + 036;2753;főúti;0.272;
992;26;26u42k36m;42 + 036;43 + 520;1466;főúti;1;
993;26;26u43k520m;43 + 520;44 + 524;1007;főúti;0.165;
994;27;27u1k222m;1 + 222;1 + 854;667;főúti;0.48;
995;27;27u1k854m;1 + 854;5 + 686;3836;főúti;0.228;
996;27;27u5k686m;5 + 686;7 + 850;2167;főúti;0.344;
997;27;27u12k780m;12 + 780;16 + 620;3685;főúti;0.238;
998;27;27u18k25m;18 + 025;24 + 042;5740;főúti;0.041;
999;27;27u26k276m;26 + 276;30 + 197;3923;főúti;0.166;
1000;27;27u31k964m;31 + 964;34 + 717;2754;főúti;0;
1001;27;27u34k717m;34 + 717;35 + 071;353;főúti;0.367;
1002;27;27u36k174m;36 + 174;38 + 938;2772;főúti;0.284;
1003;27;27u38k938m;38 + 938;43 + 116;4188;főúti;0;
1004;27;27u43k116m;43 + 116;44 + 018;900;főúti;0;
1005;27;27u45k143m;45 + 143;46 + 549;1374;főúti;0.285;
1006;27;27u47k266m;47 + 266;48 + 840;1575;főúti;0.137;
1007;27;27u49k504m;49 + 504;54 + 687;5166;főúti;0.097;
1008;31;31u24k668m;24 + 668;25 + 433;699;főúti;0;
1009;31;31u25k1018m;25 + 1018;27 + 229;1245;főúti;0.464;
1010;31;31u25k433m;25 + 433;25 + 1018;586;főúti;0;
1011;31;31u28k642m;28 + 642;32 + 721;4125;főúti;0.721;
1012;31;31u32k721m;32 + 721;34 + 107;1451;főúti;0;
1013;31;31u36k260m;36 + 260;40 + 764;4503;főúti;0.249;
1014;31;31u40k764m;40 + 764;41 + 205;434;főúti;0.999;
1015;31;31u44k27m;44 + 027;45 + 055;1026;főúti;1;
1016;31;31u45k860m;45 + 860;46 + 343;482;főúti;1;
1017;31;31u47k911m;47 + 911;48 + 808;895;főúti;0.185;
1018;31;31u48k808m;48 + 808;54 + 538;5724;főúti;0.037;
1019;31;31u57k611m;57 + 611;60 + 662;3047;főúti;0.108;
1020;31;31u63k50m;63 + 050;66 + 029;2963;főúti;0;
1021;31;31u66k29m;66 + 029;67 + 321;1286;főúti;0;
1022;31;31u67k321m;67 + 321;70 + 296;2919;főúti;0;
1023;31;31u70k296m;70 + 296;71 + 512;1235;főúti;0;
1024;31;31u71k512m;71 + 512;72 + 750;1252;főúti;0;
1025;31;31u72k750m;72 + 750;74 + 044;1337;főúti;0;
1026;31;31u74k44m;74 + 044;75 + 235;1196;főúti;0;
1027;31;31u75k298m;75 + 298;78 + 376;2822;főúti;0;
1028;31;31u78k376m;78 + 376;81 + 154;3061;főúti;0.132;
1029;31;31u81k154m;81 + 154;81 + 2868;2713;főúti;0;
1030;31;31u81k2868m;81 + 2868;84 + 179;2919;főúti;0.217;
1031;31;31u92k580m;92 + 580;95 + 829;3249;főúti;0.156;
1032;31;31u99k58m;99 + 058;101 + 081;2015;főúti;0.093;
1033;31;31u101k81m;101 + 081;105 + 417;4340;főúti;0;
1034;31;31u105k417m;105 + 417;108 + 892;3571;főúti;0;
1035;31;31u114k64m;114 + 064;116 + 845;2760;főúti;0;
1036;31;31u116k845m;116 + 845;118 + 947;2106;főúti;0.228;
1037;31;31u120k210m;120 + 210;128 + 454;8256;főúti;0.028;
1038;32;32u0k0m;0 + 000;1 + 1219;1777;főúti;0.335;
1039;32;32u1k1277m;1 + 1277;1 + 2379;1145;főúti;0;
1040;32;32u2k940m;2 + 940;6 + 389;4735;főúti;0;
1041;32;32u6k389m;6 + 389;8 + 277;1919;főúti;0;
1042;32;32u8k277m;8 + 277;9 + 695;1388;főúti;0;
1043;32;32u9k695m;9 + 695;10 + 463;727;főúti;0;
1044;32;32u10k510m;10 + 510;12 + 614;2109;főúti;0;
1045;32;32u12k614m;12 + 614;14 + 713;2120;főúti;0.097;
1046;32;32u16k221m;16 + 221;23 + 340;7128;főúti;0.019;
1047;32;32u23k340m;23 + 340;25 + 059;1731;főúti;0.521;
1048;32;32u25k59m;25 + 059;28 + 815;3782;főúti;0.323;
1049;32;32u29k771m;29 + 771;34 + 332;4730;főúti;0.163;
1050;32;32u35k951m;35 + 951;40 + 420;4569;főúti;0.18;
1051;32;32u42k488m;42 + 488;45 + 662;3233;főúti;0.06;
1052;32;32u46k586m;46 + 586;48 + 398;1828;főúti;0.054;
1053;32;32u51k142m;51 + 142;55 + 027;3968;főúti;0;
1054;32;32u55k27m;55 + 027;57 + 282;2341;főúti;0.43;
1055;32;32u57k282m;57 + 282;58 + 291;1002;főúti;0;
1056;32;32u58k291m;58 + 291;63 + 163;4873;főúti;0;
1057;32;32u63k163m;63 + 163;67 + 000;3873;főúti;0;
1058;32;32u67k0m;67 + 000;67 + 550;550;főúti;0;
1059;32;32u67k550m;67 + 550;68 + 226;620;főúti;0;
1060;32;32u68k226m;68 + 226;69 + 335;1218;főúti;0;
1061;32;32u69k1009m;69 + 1009;70 + 499;560;főúti;0;
1062;32;32u69k335m;69 + 335;69 + 1009;680;főúti;0;
1063;32;32u75k816m;75 + 816;79 + 817;4003;főúti;0.096;
1064;33;33u0k0m;0 + 000;0 + 787;796;főúti;0;
1065;33;33u0k787m;0 + 787;3 + 068;2246;főúti;0.415;
1066;33;33u3k68m;3 + 068;3 + 902;704;főúti;0.496;
1067;33;33u3k902m;3 + 902;4 + 280;559;főúti;0;
1068;33;33u4k280m;4 + 280;4 + 873;601;főúti;0.171;
1069;33;33u6k171m;6 + 171;6 + 621;450;főúti;1;
1070;33;33u9k506m;9 + 506;11 + 909;2396;főúti;0.157;
1071;33;33u11k909m;11 + 909;13 + 497;1589;főúti;0;
1072;33;33u13k497m;13 + 497;14 + 884;1388;főúti;0;
1073;33;33u14k884m;14 + 884;22 + 773;7892;főúti;0;
1074;33;33u22k773m;22 + 773;24 + 531;1759;főúti;0;
1075;33;33u24k531m;24 + 531;25 + 134;603;főúti;0.081;
1076;33;33u28k67m;28 + 067;34 + 964;6935;főúti;0.036;
1077;33;33u39k20m;39 + 020;44 + 977;5964;főúti;0.047;
1078;33;33u44k977m;44 + 977;53 + 059;8084;főúti;0;
1079;33;33u53k59m;53 + 059;63 + 115;10033;főúti;0;
1080;33;33u63k115m;63 + 115;66 + 849;3722;főúti;0;
1081;33;33u72k579m;72 + 579;85 + 998;13435;főúti;0.052;
1082;33;33u85k998m;85 + 998;88 + 354;2328;főúti;0;
1083;33;33u88k354m;88 + 354;95 + 079;6778;főúti;0;
1084;33;33u95k79m;95 + 079;99 + 140;4011;főúti;0;
1085;33;33u98k806m;99 + 140;103 + 017;4060;főúti;0.112;
1086;33;33u103k17m;103 + 017;103 + 337;320;főúti;0;
1087;33;33u103k337m;103 + 337;105 + 105;1777;főúti;0;
1088;34;34u0k731m;0 + 731;7 + 675;6940;főúti;0.102;
1089;34;34u9k219m;9 + 219;11 + 839;2203;főúti;0.009;
1090;34;34u13k668m;13 + 668;15 + 844;2202;főúti;0.087;
1091;34;34u15k844m;15 + 844;20 + 892;5038;főúti;0;
1092;34;34u23k515m;23 + 515;23 + 688;174;főúti;0.997;
1093;34;34u23k688m;23 + 688;27 + 096;3385;főúti;0.118;
1094;34;34u27k96m;27 + 096;32 + 190;5104;főúti;0;
1095;34;34u32k190m;32 + 190;32 + 625;438;főúti;0;
1096;34;34u32k625m;32 + 625;34 + 710;2101;főúti;0;
1097;34;34u34k710m;34 + 710;35 + 422;712;főúti;0.115;
1098;34;34u38k980m;38 + 980;44 + 269;5304;főúti;0.037;
1099;34;34u44k269m;44 + 269;53 + 698;9402;főúti;0.052;
1100;35;35u0k289m;0 + 289;2 + 024;1711;főúti;0.727;
1101;35;35u2k24m;2 + 024;5 + 141;3117;főúti;0;
1102;35;35u5k141m;5 + 141;6 + 176;1040;főúti;0;
1103;35;35u6k176m;6 + 176;7 + 922;1755;főúti;0.224;
1104;35;35u7k922m;7 + 922;8 + 665;740;főúti;0.298;
1105;35;35u10k267m;10 + 267;12 + 062;1841;főúti;0.135;
1106;35;35u14k157m;14 + 157;16 + 157;1987;főúti;0.882;
1107;35;35u18k876m;18 + 876;23 + 270;4450;főúti;0;
1108;35;35u23k270m;23 + 270;27 + 273;3998;főúti;0.27;
1109;35;35u27k273m;27 + 273;28 + 140;872;főúti;0;
1110;35;35u28k140m;28 + 140;30 + 828;2684;főúti;0;
1111;35;35u30k828m;30 + 828;37 + 183;6339;főúti;0.023;
1112;35;35u40k181m;40 + 181;41 + 885;1695;főúti;0;
1113;35;35u41k885m;41 + 885;43 + 564;2480;főúti;0;
1114;35;35u43k564m;43 + 564;48 + 020;4436;főúti;0;
1115;35;35u48k20m;48 + 020;49 + 811;1794;főúti;0;
1116;35;35u49k811m;49 + 811;54 + 061;4362;főúti;0;
1117;35;35u54k61m;54 + 061;62 + 789;8912;főúti;0.004;
1118;35;35u62k789m;62 + 789;63 + 594;782;főúti;1;
1119;35;35u66k460m;66 + 460;70 + 747;4287;főúti;0.137;
1120;35;35u70k747m;70 + 747;74 + 017;3279;főúti;0.073;
1121;35;35u75k18m;75 + 018;77 + 441;2421;főúti;0.3;
1122;35;35u77k441m;77 + 441;78 + 125;693;főúti;0;
1123;35;35u78k125m;78 + 125;78 + 696;574;főúti;0;
1124;36;36u0k841m;0 + 841;1 + 242;392;főúti;0;
1125;36;36u1k242m;1 + 242;6 + 884;5643;főúti;0;
1126;36;36u6k884m;6 + 884;7 + 749;861;főúti;0;
1127;36;36u7k749m;7 + 749;13 + 928;5884;főúti;0;
1128;36;36u13k928m;13 + 928;14 + 603;675;főúti;0;
1129;36;36u14k603m;14 + 603;15 + 699;1093;főúti;0.373;
1130;36;36u15k699m;15 + 699;18 + 076;2375;főúti;0.341;
1131;36;36u20k680m;20 + 680;21 + 758;1079;főúti;0.122;
1132;36;36u26k10m;26 + 010;34 + 751;8733;főúti;0;
1133;36;36u34k751m;34 + 751;36 + 902;2151;főúti;0;
1134;36;36u36k902m;36 + 902;38 + 121;1222;főúti;0.748;
1135;36;36u39k892m;39 + 892;40 + 515;623;főúti;0;
1136;36;36u40k515m;40 + 515;43 + 314;2846;főúti;0.373;
1137;36;36u43k314m;43 + 314;44 + 378;1019;főúti;0.08;
1138;36;36u44k378m;44 + 378;45 + 603;1224;főúti;0;
1139;36;36u45k603m;45 + 603;46 + 133;533;főúti;0;
1140;36;36u46k187m;46 + 187;46 + 400;274;főúti;0;
1141;36;36u46k400m;46 + 400;47 + 877;1461;főúti;0.289;
1142;37;37u0k0m;0 + 000;0 + 1040;1099;főúti;0.27;
1143;37;37u0k1040m;0 + 1040;3 + 805;2649;főúti;0.082;
1144;37;37u3k805m;3 + 805;6 + 380;2587;főúti;0;
1145;37;37u6k380m;6 + 380;8 + 484;2098;főúti;0.443;
1146;37;37u8k484m;8 + 484;15 + 669;7185;főúti;0.15;
1147;37;37u15k669m;15 + 669;20 + 292;4609;főúti;0;
1148;37;37u20k292m;20 + 292;22 + 800;2493;főúti;0;
1149;37;37u22k800m;22 + 800;27 + 078;4285;főúti;0.336;
1150;37;37u29k717m;29 + 717;35 + 107;5396;főúti;0;
1151;37;37u35k107m;35 + 107;35 + 958;862;főúti;0;
1152;37;37u35k958m;35 + 958;39 + 781;3810;főúti;0;
1153;37;37u39k781m;39 + 781;46 + 594;6844;főúti;0.246;
1154;37;37u46k594m;46 + 594;49 + 941;3355;főúti;0;
1155;37;37u49k941m;49 + 941;52 + 890;2934;főúti;0.048;
1156;37;37u52k890m;52 + 890;55 + 338;2460;főúti;0;
1157;37;37u55k338m;55 + 338;57 + 975;2638;főúti;0.213;
1158;37;37u57k975m;57 + 975;62 + 069;4100;főúti;0.122;
1159;37;37u62k69m;62 + 069;64 + 472;2405;főúti;0.151;
1160;37;37u64k472m;64 + 472;66 + 114;1679;főúti;0.649;
1161;37;37u66k114m;66 + 114;69 + 664;3455;főúti;0.084;
1162;37;37u69k664m;69 + 664;74 + 333;4671;főúti;0.308;
1163;37;37u74k333m;74 + 333;75 + 058;729;főúti;0;
1164;37;37u75k58m;75 + 058;75 + 341;283;főúti;0;
1165;37;37u80k124m;80 + 124;80 + 466;320;főúti;0;
